customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level,occupation,transaction_id,transaction_date,product_id,product_category,quantity,unit_price,discount_applied,payment_method,store_location,transaction_hour,day_of_week,week_of_year,month_of_year,avg_purchase_value,purchase_frequency,last_purchase_date,avg_discount_used,preferred_store,online_purchases,in_store_purchases,avg_items_per_transaction,avg_transaction_value,total_returned_items,total_returned_value,total_sales,total_transactions,total_items_purchased,total_discounts_received,avg_spent_per_category,max_single_purchase_value,min_single_purchase_value,product_name,product_brand,product_rating,product_review_count,product_stock,product_return_rate,product_size,product_weight,product_color,product_material,product_manufacture_date,product_expiry_date,product_shelf_life,promotion_id,promotion_type,promotion_start_date,promotion_end_date,promotion_effectiveness,promotion_channel,promotion_target_audience,customer_zip_code,customer_city,customer_state,store_zip_code,store_city,store_state,distance_to_store,holiday_season,season,weekend,customer_support_calls,email_subscriptions,app_usage,website_visits,social_media_engagement,days_since_last_purchase
11,36,Female,Low,No,1,No,Divorced,1,Bachelor's,Retired,927692,2021-10-13 08:07:17,1804,Furniture,4,192.98,0.41,Mobile Payment,Location D,15,Sunday,43,11,85.82,Yearly,2021-11-13 12:11:26,0.18,Location D,13,2,4.2,414.24,1,490.88,8484.33,71,127,866.01,353.94,131.98,2.21,Product B,Brand Y,3.8,303,22,0.44,Small,8.99,Green,Plastic,2018-08-09 08:43:14,2022-03-12 11:30:26,359,257,Buy One Get One Free,2021-06-09 08:29:58,2022-12-23 10:22:14,Low,Online,New Customers,11562,City C,State Z,44818,City D,State X,52.16,No,Winter,Yes,9,No,High,98,Medium,328
12,40,Female,High,No,2,No,Single,0,High School,Employed,276103,2021-01-26 14:31:38,6986,Electronics,3,875.65,0.39,Mobile Payment,Location A,19,Wednesday,26,9,89.15,Daily,2021-09-11 12:30:17,0.32,Location A,69,50,6.32,445.87,4,10.79,999.17,29,274,590.86,66.03,561.37,5.25,Product B,Brand X,1.4,88,15,0.3,Medium,3.07,Blue,Glass,2019-12-02 11:35:43,2022-12-11 20:03:58,70,603,20% Off,2021-07-10 06:45:07,2022-12-02 08:27:29,Low,Online,Returning Customers,93685,City A,State X,94638,City B,State X,89.78,Yes,Fall,Yes,3,No,High,62,Medium,230
13,28,Other,Medium,Yes,7,No,Single,2,Master's,Unemployed,643957,2021-04-01 14:27:15,568,Clothing,2,671.26,0.34,Debit Card,Location D,0,Tuesday,33,6,45.89,Weekly,2021-05-03 01:51:33,0.14,Location C,26,55,9.58,141.05,7,167.54,923.13,65,390,661.85,476.26,174.23,7.55,Product C,Brand Y,4.2,141,47,0.36,Large,7.57,Black,Plastic,2019-07-24 18:30:24,2023-10-31 08:14:56,319,586,Flash Sale,2021-11-11 02:23:25,2022-08-27 09:11:03,Low,In-store,Returning Customers,32141,City D,State Y,20909,City A,State Y,64.35,Yes,Summer,No,9,No,Medium,22,High,242
14,28,Male,Low,No,6,Yes,Single,3,Master's,Employed,207348,2020-12-08 12:50:49,1376,Clothing,4,81.02,0.5,Credit Card,Location C,11,Sunday,36,6,286.02,Yearly,2021-01-04 14:49:44,0.3,Location C,95,81,8.49,235.89,2,6.54,4678.45,11,52,240.58,908.69,144.89,6.25,Product B,Brand X,3.8,501,40,0.11,Medium,0.91,Black,Glass,2018-06-02 00:12:15,2022-10-24 23:49:44,234,85,20% Off,2021-06-07 07:51:49,2022-12-15 22:22:09,High,Online,New Customers,80781,City C,State Y,32981,City C,State Y,37.79,Yes,Winter,No,16,No,High,54,Low,86
15,41,Male,Medium,No,7,No,Divorced,3,PhD,Employed,887953,2021-06-17 09:35:20,7339,Groceries,3,815.2,0.0,Credit Card,Location D,1,Wednesday,6,3,483.34,Daily,2021-01-11 23:09:33,0.4,Location B,51,26,8.04,474.91,1,670.06,2768.37,3,18,726.34,46.8,869.97,6.22,Product A,Brand Z,2.8,981,49,0.18,Large,0.88,Green,Plastic,2018-03-31 01:41:59,2022-05-10 12:47:26,307,215,Buy One Get One Free,2021-07-16 13:25:38,2022-04-10 15:28:39,Medium,In-store,New Customers,70478,City D,State Z,44274,City C,State Z,72.3,No,Fall,Yes,4,Yes,High,35,Low,303
16,70,Male,Medium,No,9,Yes,Divorced,4,High School,Retired,950662,2021-06-08 17:28:08,1149,Clothing,2,87.71,0.27,Cash,Location D,7,Sunday,46,11,438.19,Yearly,2021-03-15 22:02:13,0.2,Location C,93,7,2.37,375.92,6,46.09,3992.83,79,69,914.16,878.53,310.36,1.85,Product D,Brand Y,1.6,704,43,0.05,Medium,1.49,Red,Glass,2018-06-19 14:24:53,2022-02-12 12:43:22,133,661,Buy One Get One Free,2021-07-23 04:19:26,2022-07-22 14:47:39,Low,In-store,Returning Customers,46924,City A,State Z,77423,City C,State Y,33.18,Yes,Summer,Yes,6,No,Low,63,High,257
17,53,Female,Medium,Yes,9,Yes,Divorced,1,Bachelor's,Retired,736294,2021-06-11 03:32:41,3009,Groceries,5,390.82,0.0,Mobile Payment,Location A,12,Sunday,22,2,41.16,Weekly,2021-11-09 03:08:19,0.14,Location B,78,79,5.06,344.59,0,972.17,6936.3,38,17,752.52,509.73,533.66,2.74,Product C,Brand Z,1.6,939,28,0.23,Small,0.76,Blue,Wood,2019-12-20 23:34:21,2023-03-19 12:07:32,120,769,20% Off,2021-05-15 12:02:53,2022-07-17 00:27:04,Medium,Online,Returning Customers,40401,City D,State Z,10769,City B,State Z,25.09,Yes,Spring,Yes,15,No,Low,10,Medium,69
18,57,Male,Low,No,6,No,Divorced,0,High School,Employed,619151,2020-05-28 00:36:24,7414,Groceries,6,241.98,0.18,Mobile Payment,Location B,9,Monday,12,5,346.51,Yearly,2021-06-16 18:54:43,0.07,Location C,49,17,7.71,49.8,3,991.62,5689.28,13,63,729.5,456.12,317.32,9.2,Product C,Brand Y,3.5,327,6,0.11,Small,4.4,Blue,Wood,2019-09-07 19:12:06,2023-12-08 00:14:04,330,179,20% Off,2021-07-03 12:24:41,2022-08-15 19:11:12,Medium,Online,New Customers,52762,City D,State X,17676,City C,State Z,76.5,Yes,Summer,No,0,Yes,High,21,Medium,93
19,41,Other,Medium,No,9,Yes,Divorced,0,Bachelor's,Employed,469647,2021-09-05 05:21:54,5266,Toys,2,182.88,0.04,Cash,Location D,13,Thursday,23,12,49.85,Weekly,2021-12-05 12:42:18,0.03,Location D,53,96,4.31,280.97,0,60.55,3654.8,66,258,976.45,295.19,413.9,8.28,Product B,Brand Y,3.1,705,79,0.03,Large,2.22,Blue,Plastic,2018-08-12 00:04:32,2023-10-31 23:17:59,350,497,Buy One Get One Free,2021-11-19 05:11:51,2022-11-11 20:29:47,High,In-store,New Customers,38197,City A,State X,94703,City B,State X,20.18,No,Summer,No,3,Yes,High,45,Medium,341
20,20,Male,Low,No,7,No,Single,3,PhD,Unemployed,104093,2021-08-11 22:50:13,3281,Furniture,9,417.57,0.14,Debit Card,Location A,18,Wednesday,47,9,431.04,Weekly,2021-07-29 15:58:29,0.1,Location D,90,36,2.9,138.55,5,567.8,7551.92,75,41,385.76,948.55,426.86,7.48,Product B,Brand Z,2.5,933,56,0.34,Large,4.64,Blue,Metal,2019-05-06 15:48:59,2023-07-07 02:17:40,349,263,Buy One Get One Free,2021-06-15 17:39:46,2022-08-08 14:11:21,Medium,Online,New Customers,47478,City D,State Y,33471,City C,State Z,45.83,Yes,Fall,Yes,8,No,High,65,Low,233
21,39,Female,High,Yes,9,Yes,Divorced,0,PhD,Employed,768929,2020-07-04 12:42:16,2012,Furniture,1,422.93,0.31,Credit Card,Location C,22,Thursday,21,8,312.25,Daily,2021-12-05 04:22:35,0.32,Location D,26,76,3.06,107.81,9,811.28,9174.37,23,478,242.87,796.38,615.03,5.25,Product C,Brand Y,1.9,78,90,0.38,Large,8.13,Blue,Metal,2019-11-06 23:13:17,2022-10-20 15:44:46,54,270,Flash Sale,2021-04-10 14:49:38,2022-08-13 06:20:14,Medium,Online,Returning Customers,74500,City D,State Y,96882,City D,State Y,26.03,No,Summer,Yes,4,Yes,High,27,High,185
22,70,Male,High,No,8,No,Divorced,0,Bachelor's,Employed,14037,2020-02-28 12:33:05,668,Clothing,4,542.14,0.42,Cash,Location B,3,Saturday,52,9,291.88,Weekly,2021-05-02 04:02:48,0.13,Location D,3,38,4.36,75.13,8,305.77,533.97,83,57,452.71,897.34,861.32,7.32,Product C,Brand X,2.7,704,67,0.3,Large,4.37,White,Wood,2018-02-26 11:46:49,2022-07-15 00:30:04,218,960,20% Off,2021-08-28 16:02:41,2022-07-26 07:52:49,High,In-store,New Customers,69058,City C,State Z,29779,City D,State Y,2.78,No,Summer,Yes,5,Yes,Medium,76,Medium,192
23,19,Other,Low,No,1,No,Divorced,1,High School,Unemployed,191823,2021-11-08 21:20:37,8715,Toys,9,512.97,0.02,Debit Card,Location D,11,Sunday,11,11,128.13,Yearly,2021-12-08 12:06:34,0.27,Location A,30,99,5.7,336.76,3,234.8,8820.87,61,273,984.42,562.15,744.39,4.3,Product C,Brand X,4.9,48,10,0.33,Small,2.68,Green,Plastic,2018-07-29 16:14:37,2023-07-14 05:35:27,150,462,20% Off,2021-07-15 18:15:39,2022-07-09 06:37:01,High,Social Media,New Customers,58301,City A,State Z,59816,City B,State Z,55.73,No,Fall,No,10,Yes,High,43,Medium,260
24,41,Male,Low,Yes,8,No,Single,0,High School,Retired,378545,2020-06-14 04:24:04,3445,Furniture,9,211.15,0.37,Cash,Location B,20,Tuesday,12,2,403.68,Daily,2021-08-25 11:39:25,0.06,Location C,32,36,7.42,248.58,9,796.04,5456.91,66,372,218.42,892.43,378.52,1.61,Product A,Brand Y,2.4,585,17,0.43,Medium,2.81,Black,Glass,2018-08-05 17:57:25,2022-07-26 17:22:44,140,789,Flash Sale,2021-03-31 13:11:27,2022-08-21 12:02:19,Medium,Social Media,New Customers,21585,City C,State Z,35886,City A,State Z,21.57,No,Winter,No,3,Yes,Low,0,Medium,306
25,61,Female,Medium,No,9,Yes,Single,4,PhD,Unemployed,470629,2020-05-25 16:21:01,3311,Electronics,7,951.92,0.43,Debit Card,Location D,1,Wednesday,33,6,51.8,Weekly,2021-12-14 07:01:56,0.34,Location B,69,60,9.41,172.2,2,947.01,1568.09,81,24,96.81,430.51,794.22,1.42,Product A,Brand X,4.1,884,80,0.47,Medium,7.43,White,Glass,2019-03-20 21:07:59,2022-07-30 21:11:18,345,99,Buy One Get One Free,2021-04-19 15:22:21,2022-05-21 10:13:07,High,Social Media,New Customers,80677,City A,State Z,13509,City C,State X,55.63,Yes,Spring,Yes,15,Yes,Medium,50,Medium,278
26,47,Male,High,No,4,Yes,Single,0,High School,Retired,974720,2020-02-08 02:45:45,414,Toys,2,687.35,0.04,Mobile Payment,Location B,3,Wednesday,6,9,194.16,Yearly,2021-05-19 01:31:16,0.06,Location B,42,94,1.88,374.84,3,79.14,1639.63,50,213,395.49,539.79,381.46,8.51,Product C,Brand Z,3.0,32,66,0.43,Medium,0.88,Black,Plastic,2018-10-03 19:03:23,2022-06-09 13:43:36,18,786,20% Off,2021-07-22 03:18:10,2022-05-10 19:11:29,Medium,In-store,Returning Customers,79310,City D,State Z,42779,City D,State Y,15.64,No,Spring,No,6,No,High,88,Low,205
27,55,Other,Low,No,8,Yes,Married,3,High School,Self-Employed,532425,2020-08-06 16:52:36,5367,Electronics,4,825.54,0.03,Mobile Payment,Location A,12,Wednesday,34,9,42.64,Weekly,2021-04-24 14:21:34,0.07,Location C,58,17,6.8,70.51,9,343.02,292.69,91,52,786.2,104.57,628.14,4.82,Product A,Brand Y,4.9,329,26,0.08,Large,1.63,Red,Wood,2018-11-04 09:09:44,2023-03-01 18:35:45,276,915,20% Off,2021-08-08 08:33:03,2022-05-24 11:35:10,High,Social Media,New Customers,63089,City A,State X,18030,City C,State Z,84.42,No,Summer,Yes,2,No,Medium,16,High,242
28,19,Other,Low,Yes,0,No,Married,4,PhD,Self-Employed,302109,2021-03-06 22:31:28,2614,Groceries,1,446.15,0.48,Credit Card,Location D,22,Thursday,15,8,181.27,Monthly,2021-06-26 04:42:46,0.5,Location D,91,67,9.27,17.7,1,138.14,2909.77,81,322,546.48,168.83,900.06,4.68,Product C,Brand Y,4.4,351,93,0.29,Small,7.76,Blue,Metal,2019-06-30 04:56:40,2022-04-09 02:59:43,280,308,20% Off,2021-06-07 12:51:10,2022-09-07 15:28:25,Low,Online,Returning Customers,64368,City C,State Z,51930,City C,State Z,15.51,Yes,Summer,No,4,Yes,Low,27,Low,119
29,77,Male,Low,No,7,No,Single,1,Bachelor's,Retired,577038,2021-03-27 13:44:19,4642,Clothing,5,833.11,0.32,Credit Card,Location C,10,Monday,46,4,78.13,Daily,2021-03-10 18:14:41,0.34,Location B,42,47,6.73,473.87,8,96.61,1459.27,8,354,921.71,940.9,214.97,4.8,Product C,Brand Y,2.9,992,81,0.17,Large,6.75,Black,Glass,2018-05-27 19:33:06,2023-05-16 01:43:05,148,334,20% Off,2021-07-30 18:47:36,2022-04-23 15:15:10,Low,Online,Returning Customers,49343,City C,State Z,11267,City D,State X,85.14,Yes,Winter,No,3,Yes,Medium,68,Low,284
30,38,Female,Low,Yes,5,No,Divorced,2,High School,Unemployed,130179,2021-08-24 16:23:51,3121,Toys,6,101.91,0.2,Mobile Payment,Location A,22,Monday,45,9,181.81,Weekly,2021-11-04 23:39:10,0.48,Location C,30,81,6.07,278.66,1,579.21,2767.61,93,252,875.62,160.62,587.34,7.83,Product A,Brand X,4.2,486,53,0.48,Medium,3.39,Green,Wood,2018-05-24 10:35:11,2023-01-22 09:39:31,293,283,20% Off,2021-01-25 18:14:45,2022-03-01 21:07:49,High,In-store,Returning Customers,66903,City C,State Y,51517,City A,State Z,53.04,Yes,Fall,Yes,0,Yes,Low,42,Medium,39
31,50,Male,Low,Yes,4,Yes,Married,4,PhD,Self-Employed,914952,2021-08-17 14:09:33,2843,Toys,5,338.22,0.01,Cash,Location A,10,Monday,24,10,160.34,Monthly,2021-05-18 05:17:41,0.06,Location B,8,54,1.38,118.2,5,309.29,3464.48,23,448,892.7,700.18,361.75,9.31,Product D,Brand X,4.5,312,45,0.03,Large,5.97,Green,Wood,2018-12-20 18:32:16,2023-12-19 17:14:59,157,416,Buy One Get One Free,2021-04-27 15:07:17,2022-05-09 11:14:20,Medium,Social Media,Returning Customers,67111,City C,State Y,31830,City D,State Y,80.29,Yes,Spring,No,8,No,Low,40,Low,173
32,29,Other,Medium,No,3,No,Married,0,Bachelor's,Employed,901113,2020-11-15 08:56:17,3338,Electronics,5,15.89,0.42,Mobile Payment,Location D,17,Wednesday,52,7,14.02,Daily,2021-08-05 02:36:32,0.15,Location B,99,7,4.58,182.56,4,360.44,5059.33,68,290,472.77,200.52,860.59,8.57,Product A,Brand Y,1.4,385,84,0.06,Large,4.75,White,Glass,2019-03-26 14:34:28,2022-05-07 17:07:47,265,282,Flash Sale,2021-01-22 04:02:24,2022-06-19 02:26:06,Low,In-store,New Customers,61623,City D,State X,39063,City B,State Z,93.03,Yes,Summer,Yes,16,No,High,50,Medium,223
33,75,Other,High,No,9,Yes,Single,0,High School,Self-Employed,523222,2021-12-06 21:43:03,4854,Groceries,9,134.44,0.38,Cash,Location B,17,Monday,20,12,357.02,Weekly,2021-02-27 18:54:13,0.41,Location D,48,61,3.82,136.95,4,991.22,6662.93,75,431,726.46,451.1,812.88,4.42,Product D,Brand Y,4.3,838,13,0.3,Medium,9.59,Green,Plastic,2019-09-13 07:55:07,2023-03-11 19:06:32,252,269,Flash Sale,2021-11-12 05:58:16,2022-06-10 01:31:59,High,In-store,New Customers,33297,City B,State Z,67879,City A,State Z,34.62,No,Summer,Yes,15,No,Low,99,Low,16
34,39,Female,High,Yes,0,Yes,Divorced,0,Master's,Unemployed,530534,2020-05-08 05:45:31,8507,Furniture,4,728.02,0.02,Mobile Payment,Location A,20,Friday,16,4,481.38,Yearly,2021-07-06 13:17:09,0.06,Location D,41,72,8.74,415.71,6,323.2,9816.39,11,296,381.69,321.45,493.08,4.55,Product A,Brand X,1.0,330,2,0.22,Medium,6.75,Green,Plastic,2019-09-19 10:14:11,2022-12-02 10:27:26,28,407,Flash Sale,2021-06-04 11:16:45,2022-10-18 02:50:42,Medium,In-store,Returning Customers,26320,City D,State X,73769,City B,State Y,90.74,No,Spring,Yes,7,No,Low,91,High,358
35,78,Other,Low,No,1,No,Single,3,Bachelor's,Employed,338878,2020-04-15 03:15:37,1067,Electronics,9,129.03,0.23,Debit Card,Location B,10,Tuesday,38,11,411.66,Daily,2021-06-08 16:30:47,0.04,Location B,84,37,2.86,245.76,8,340.0,4831.51,55,98,597.08,448.33,255.5,3.76,Product A,Brand X,3.5,354,72,0.34,Medium,8.85,Red,Plastic,2018-01-07 03:47:49,2023-05-29 07:17:37,30,670,20% Off,2021-02-25 21:41:42,2022-10-04 03:39:11,Low,Online,Returning Customers,94542,City A,State Y,27674,City D,State Z,32.74,No,Winter,No,17,Yes,Low,7,High,162
36,61,Other,Low,Yes,0,Yes,Married,4,Bachelor's,Self-Employed,431082,2021-11-24 02:47:47,8037,Furniture,5,422.37,0.33,Mobile Payment,Location D,12,Sunday,21,12,467.08,Weekly,2021-06-15 08:09:18,0.14,Location B,68,80,3.21,11.47,0,96.78,7063.64,23,189,87.51,201.0,395.98,6.96,Product B,Brand X,3.1,913,43,0.39,Medium,0.99,Green,Metal,2018-07-11 19:10:01,2022-03-11 22:32:34,23,711,20% Off,2021-04-29 15:26:24,2022-05-02 20:58:22,Low,In-store,New Customers,28124,City D,State X,13128,City D,State X,61.76,No,Fall,No,19,Yes,High,90,High,274
37,42,Male,Low,No,3,Yes,Married,3,High School,Retired,134128,2021-12-16 06:30:28,3340,Groceries,6,113.69,0.42,Mobile Payment,Location A,6,Wednesday,50,3,389.46,Yearly,2021-03-20 22:05:07,0.18,Location C,70,92,7.36,415.77,0,154.3,3387.4,28,179,371.2,28.91,419.97,9.83,Product D,Brand X,4.5,31,48,0.35,Medium,4.81,Red,Wood,2018-02-27 15:56:22,2022-02-03 04:00:14,25,237,20% Off,2021-02-17 06:21:54,2022-04-13 07:36:45,Low,Online,New Customers,32593,City B,State Y,32473,City C,State Y,37.56,No,Summer,Yes,2,Yes,Low,79,High,164
38,66,Other,High,No,0,Yes,Married,1,PhD,Employed,561919,2020-12-08 03:47:48,4404,Electronics,4,821.95,0.26,Cash,Location C,11,Thursday,39,2,254.4,Yearly,2021-06-22 18:16:10,0.13,Location B,22,95,4.02,197.03,2,761.03,4817.8,75,289,405.26,659.53,348.73,2.14,Product B,Brand Z,1.5,528,4,0.25,Medium,6.79,Red,Plastic,2019-02-20 17:40:52,2023-09-07 20:22:20,121,906,Flash Sale,2021-04-11 06:51:06,2022-02-10 15:06:38,High,Social Media,Returning Customers,55973,City B,State Z,62571,City D,State Z,8.43,No,Fall,Yes,11,No,High,63,Low,196
39,44,Male,Medium,No,4,Yes,Divorced,2,High School,Unemployed,713655,2021-12-26 01:38:25,8280,Electronics,5,685.73,0.04,Cash,Location A,10,Thursday,49,3,31.62,Monthly,2021-08-15 16:23:40,0.11,Location B,97,77,8.66,310.0,2,928.32,5974.24,71,370,318.75,713.85,89.07,9.2,Product D,Brand X,3.2,133,48,0.34,Large,2.86,Red,Wood,2018-07-03 20:43:56,2022-11-02 11:57:01,209,821,20% Off,2021-01-11 04:12:07,2022-08-21 16:49:33,High,Social Media,Returning Customers,62306,City D,State Y,42707,City A,State Y,72.47,No,Fall,Yes,10,No,High,91,Medium,164
40,76,Other,High,Yes,6,No,Single,4,Master's,Retired,687009,2020-10-09 15:59:46,7704,Clothing,4,597.0,0.03,Debit Card,Location B,7,Friday,12,3,28.56,Daily,2021-10-31 05:40:56,0.2,Location A,68,7,6.73,123.55,3,261.36,9021.37,60,281,533.8,121.39,333.03,0.71,Product C,Brand Z,4.7,595,99,0.06,Small,6.88,Blue,Wood,2019-01-06 00:16:51,2022-10-08 16:08:43,84,805,Buy One Get One Free,2021-10-31 21:43:29,2022-07-23 22:21:22,Medium,Social Media,New Customers,26972,City C,State X,57351,City A,State Y,36.49,Yes,Spring,No,19,Yes,Medium,7,Low,362
